helcom_id,subbasin_id,subbasin,area_km2,order
SEA-001,501,Kattegat,22040.23616,17
SEA-002,502,Great Belt,10510.102,16
SEA-003,503,The Sound,1201.05226,15
SEA-004,504,Kiel Bay,3288.3558700000003,14
SEA-005,505,Bay of Mecklenburg,4583.11505,13
SEA-006,506,Arkona Basin,17570.47913,12
SEA-007,507,Bornholm Basin,42151.18226,11
SEA-008,508,Gdansk Basin,5821.25035,10
SEA-009,509,Eastern Gotland Basin,74952.58754,9
SEA-010,510,Western Gotland Basin,27456.05692,8
SEA-011,511,Gulf of Riga,18768.4712,7
SEA-012,512,Northern Baltic Proper,39370.04477,6
SEA-013,513,Gulf of Finland,29547.32054,5
SEA-014,514,Aland Sea,15108.741970000001,4
SEA-015,515,Bothnian Sea,59872.69655,3
SEA-016,516,The Quark,8148.71162,2
SEA-017,517,Bothnian Bay,32266.734279999997,1
