goal,Goal/Subgoal,Dataset,Description,Source
CW,TRA,"Marine Litter, Modelled Marine Litter and Trash Data  ",,"<a href=""http://science.sciencemag.org/content/347/6223/768.full.pdf+html"" target = ""_blank"">Plastic waste inputs from land into the ocean(Jambeck et al 2015)</a>"
TRA,TRA,"Marine Litter, Modelled Marine Litter and Trash Data  ",,"<a href=""http://science.sciencemag.org/content/347/6223/768.full.pdf+html"" target = ""_blank"">Plastic waste inputs from land into the ocean(Jambeck et al 2015)</a>"
CW,TRA,"Marine Litter, Litter Exchange Data = (HH and LT) – continuously updated",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES database (DATRAS)</a>"
TRA,TRA,"Marine Litter, Litter Exchange Data = (HH and LT) – continuously updated",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES database (DATRAS)</a>"
CW,TRA,"Marine Litter, Litter Assessment Output (OSPAR) = (merged HH, LT, and GIS-info) – updated once a year ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES database (DATRAS)</a>"
TRA,TRA,"Marine Litter, Litter Assessment Output (OSPAR) = (merged HH, LT, and GIS-info) – updated once a year ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES database (DATRAS)</a>"
CW,TRA,"Marine Litter, Plastic Marine Pollution Global Dataset  ",,"<a href=""http://dx.doi.org/10.6084/m9.figshare.1015289"" target = ""_blank"">Plastic Marine Pollution Global Dataset, shared via figshare</a>"
TRA,TRA,"Marine Litter, Plastic Marine Pollution Global Dataset  ",,"<a href=""http://dx.doi.org/10.6084/m9.figshare.1015289"" target = ""_blank"">Plastic Marine Pollution Global Dataset, shared via figshare</a>"
CW,TRA,"Reference Values, Marine Strategy Framework Directive ",,"<a href=""https://mcc.jrc.ec.europa.eu/main/dev.py?N=28&O=223&titre_chap=D10%20Marine%20litter"" target = ""_blank"">Marine Strategy Framework Directive</a>"
TRA,TRA,"Reference Values, Marine Strategy Framework Directive ",,"<a href=""https://mcc.jrc.ec.europa.eu/main/dev.py?N=28&O=223&titre_chap=D10%20Marine%20litter"" target = ""_blank"">Marine Strategy Framework Directive</a>"
CW,TRA,"Reference Values, Beach litter threshold proposal ",,"<a href=""https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/254a8e7b-443f-4889-912a-941889b29cf3/details"" target = ""_blank"">beach litter threshold proposal</a>"
TRA,TRA,"Reference Values, Beach litter threshold proposal ",,"<a href=""https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/254a8e7b-443f-4889-912a-941889b29cf3/details"" target = ""_blank"">beach litter threshold proposal</a>"
CS,CS,"Zostera marina Data, Zostera marina observations (LC)",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/dd90a6aa-1d65-4158-a2e7-7ca3ee87d615"" target = ""_blank"">HELCOM Map and Data Service</a>"
CS,CS,"Zostera marina Data, Zostera marina distribution",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/ca327bb1-d3cb-46c2-8316-f5f62f889090"" target = ""_blank"">HELCOM Map and Data Service</a>"
CS,CS,"Zostera marina Data, Seagrass Meadows",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/6a0c8a15-3ff0-48e3-a878-0aa388122867"" target = ""_blank"">HELCOM Map and Data Service</a>"
TR,TR,"Tourism Accommodations Data, Nights spent at tourist accommodation establishments by all NUTS regions",,"<a href=""http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=tour_occ_nin2&lang=en"" target = ""_blank"">Eurostat database</a>"
TR,TR,"Tourism Accommodations Data, Nights spent at tourist accommodation establishments by coastal and non-coastal area  ",,"<a href=""http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=tour_occ_nin2c&lang=en,"" target = ""_blank"">Eurostat database</a>"
TR,TR,EU Baltic countries GVA Data,,"<a href=""https://ec.europa.eu/maritimeaffairs/sites/maritimeaffairs/files/2020_06_blueeconomy-2020-ld_final.pdf"" target = ""_blank"">2020 EU Blue economy report</a>"
SP,LSP,"MPA Data, HELCOM MPAs",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/d27df8c0-de86-4d13-a06d-35a8f50b16fa"" target = ""_blank"">HELCOM Map and Data Service</a>"
