region_id,dimension,goal,score,year
0,future,AO,96.9,2019
1,future,AO,98.8,2019
2,future,AO,98,2019
3,future,AO,77.2,2019
4,future,AO,NA,2019
5,future,AO,71.8,2019
6,future,AO,71.2,2019
7,future,AO,NA,2019
8,future,AO,NA,2019
9,future,AO,78,2019
10,future,AO,NA,2019
11,future,AO,87.9,2019
12,future,AO,87.2,2019
13,future,AO,NA,2019
14,future,AO,100,2019
15,future,AO,100,2019
16,future,AO,NA,2019
17,future,AO,NA,2019
18,future,AO,NA,2019
19,future,AO,NA,2019
20,future,AO,100,2019
21,future,AO,NA,2019
22,future,AO,NA,2019
23,future,AO,100,2019
24,future,AO,100,2019
25,future,AO,100,2019
26,future,AO,88,2019
27,future,AO,84.8,2019
28,future,AO,85.5,2019
29,future,AO,100,2019
30,future,AO,100,2019
31,future,AO,100,2019
32,future,AO,100,2019
33,future,AO,NA,2019
34,future,AO,100,2019
35,future,AO,100,2019
36,future,AO,100,2019
37,future,AO,100,2019
38,future,AO,100,2019
39,future,AO,100,2019
40,future,AO,100,2019
41,future,AO,100,2019
42,future,AO,100,2019
301,future,AO,97.3,2019
302,future,AO,90.8,2019
303,future,AO,NA,2019
304,future,AO,NA,2019
305,future,AO,NA,2019
306,future,AO,100,2019
307,future,AO,95.9,2019
308,future,AO,95.8,2019
309,future,AO,100,2019
501,future,AO,98.2,2019
502,future,AO,77.2,2019
503,future,AO,71.5,2019
504,future,AO,NA,2019
505,future,AO,78,2019
506,future,AO,87.5,2019
507,future,AO,100,2019
508,future,AO,NA,2019
509,future,AO,100,2019
510,future,AO,88,2019
511,future,AO,85.2,2019
512,future,AO,100,2019
513,future,AO,100,2019
514,future,AO,100,2019
515,future,AO,100,2019
516,future,AO,100,2019
517,future,AO,100,2019
0,pressures,AO,20.8,2019
1,pressures,AO,7.5,2019
2,pressures,AO,7.8,2019
3,pressures,AO,7.8,2019
4,pressures,AO,9.7,2019
5,pressures,AO,7.5,2019
6,pressures,AO,7.8,2019
7,pressures,AO,7.8,2019
8,pressures,AO,9.7,2019
9,pressures,AO,7.8,2019
10,pressures,AO,9.7,2019
11,pressures,AO,22.2,2019
12,pressures,AO,22.5,2019
13,pressures,AO,24.4,2019
14,pressures,AO,22.2,2019
15,pressures,AO,22.5,2019
16,pressures,AO,24.4,2019
17,pressures,AO,31.2,2019
18,pressures,AO,31.2,2019
19,pressures,AO,47,2019
20,pressures,AO,22.2,2019
21,pressures,AO,31.2,2019
22,pressures,AO,47,2019
23,pressures,AO,30.2,2019
24,pressures,AO,31.9,2019
25,pressures,AO,27.8,2019
26,pressures,AO,22.2,2019
27,pressures,AO,24.3,2019
28,pressures,AO,20.1,2019
29,pressures,AO,22.2,2019
30,pressures,AO,22,2019
31,pressures,AO,27.8,2019
32,pressures,AO,16.7,2019
33,pressures,AO,41.7,2019
34,pressures,AO,22.5,2019
35,pressures,AO,7.5,2019
36,pressures,AO,7.3,2019
37,pressures,AO,7.5,2019
38,pressures,AO,7.3,2019
39,pressures,AO,22.9,2019
40,pressures,AO,22.7,2019
41,pressures,AO,22.9,2019
42,pressures,AO,22.7,2019
301,pressures,AO,18.2,2019
302,pressures,AO,12.4,2019
303,pressures,AO,19,2019
304,pressures,AO,31.2,2019
305,pressures,AO,44.4,2019
306,pressures,AO,30.2,2019
307,pressures,AO,29.8,2019
308,pressures,AO,24.3,2019
309,pressures,AO,14,2019
501,pressures,AO,7.7,2019
502,pressures,AO,7.8,2019
503,pressures,AO,7.7,2019
504,pressures,AO,9,2019
505,pressures,AO,9.3,2019
506,pressures,AO,23.2,2019
507,pressures,AO,26.1,2019
508,pressures,AO,37,2019
509,pressures,AO,30.4,2019
510,pressures,AO,22.2,2019
511,pressures,AO,21.9,2019
512,pressures,AO,23.8,2019
513,pressures,AO,28.1,2019
514,pressures,AO,7.4,2019
515,pressures,AO,7.4,2019
516,pressures,AO,22.7,2019
517,pressures,AO,22.8,2019
0,resilience,AO,80.1,2019
1,resilience,AO,80.7,2019
2,resilience,AO,78,2019
3,resilience,AO,78,2019
4,resilience,AO,81.1,2019
5,resilience,AO,80.7,2019
6,resilience,AO,78,2019
7,resilience,AO,78,2019
8,resilience,AO,81.1,2019
9,resilience,AO,78,2019
10,resilience,AO,81.1,2019
11,resilience,AO,80.7,2019
12,resilience,AO,78,2019
13,resilience,AO,81.1,2019
14,resilience,AO,80.7,2019
15,resilience,AO,78,2019
16,resilience,AO,81.1,2019
17,resilience,AO,76.9,2019
18,resilience,AO,76.9,2019
19,resilience,AO,NA,2019
20,resilience,AO,80.7,2019
21,resilience,AO,76.9,2019
22,resilience,AO,NA,2019
23,resilience,AO,81.6,2019
24,resilience,AO,79.8,2019
25,resilience,AO,78.5,2019
26,resilience,AO,80.7,2019
27,resilience,AO,79.8,2019
28,resilience,AO,78.5,2019
29,resilience,AO,80.7,2019
30,resilience,AO,82,2019
31,resilience,AO,78.5,2019
32,resilience,AO,82,2019
